url,domain,target_brand_domain,critical_sector_entity_name,source_label,source_file,source_row,detection_date,evidence_file,sandbox_verdict,sandbox_reason,application_id,source_of_detection,having_ip,have_at_symbol,url_length,url_depth,redirection,http_domain,tiny_url,prefix_suffix,digit_count,special_char_count,entropy,lexical_similarity_score,min_edit_distance_to_brand_domain,homoglyph_similarity_score,brand_token_in_subdomain,brand_token_in_path,brand_not_in_registered_domain,subdomain_depth,matched_brand_domain,registered_domain,dns_check_pass,dns_resolves_to_ip,resolved_ips,cname_exists,cname_chain_length,nameserver_reputation_score,passive_dns_first_seen_days,domain_age_days,domain_expiry_days,registrar_reputation_score,asn_reputation_score,ip_seen_with_many_brands,https_enabled,ssl_valid,cert_age_days,ct_log_first_seen_days,url_fetch_success,page_fetch_success,redirect_count,redirect_cross_domain_count,page_render_success,has_login_form,has_password_input,form_action_external,brand_token_or_logo_present,logo_detected,logo_brand_matches_target_brand,logo_brand_domain_mismatch,visual_brand_domain_mismatch,favicon_hash,favicon_hash_matches_target_brand,favicon_hash_matches_known_phish,html_dom_hash,html_dom_hash_matches_known_phish,same_html_hash_domain_count_7d,fetch_status_code,fetch_error,dns_error,tls_error,dns_status,http_status,tls_status,page_status,rdap_status,whois_status,extraction_status,high_lexical_similarity,no_login_form,no_brand_visual_claim,suspected_inactive,suspected_active_infra,suspected_active_no_phish_evidence,phishing,phishing_campaign,validation_status,validation_reason,label_conflict,include_in_ml,label
https://airtel.black,airtel.black,airtel.in,Airtel,unlabeled,cse_pu_candidates.csv,2,03-05-2026,,,,,local_lexical_candidates,0,0,20,0,0,0,0,0,0,0,3.784183719779189,1.0,0,1.0,0,0,0,0,airtel.in,airtel.black,1,1,104.21.58.158;172.67.161.139;2606:4700:3030::ac43:a18b;2606:4700:3037::6815:3a9e,0,0,8,-1,32,333,8,8,0,1,1,32,-1,1,1,0,0,1,0,0,0,1,0,0,1,1,,0,0,5ef80f9c9c964276,0,1,200,,CNAME:NoAnswer,,success,success,success,success,success,skipped,complete,1,1,0,0,0,0,1,0,phishing,visual brand-domain mismatch,0,1,1
https://airtelblackout.in,airtelblackout.in,airindia.com,Air India,unlabeled,cse_pu_candidates.csv,3,03-05-2026,,,,,local_lexical_candidates,0,0,25,0,0,0,0,0,0,0,4.003856189774725,0.85,0,0.85,0,0,0,0,airindia.com,airtelblackout.in,1,1,216.198.79.1,0,0,8,-1,33,332,6,6,1,1,1,33,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,5ef070c84427368e,0,1,404,,AAAA:NoAnswer;CNAME:NoAnswer,,success,http_404,success,success,success,skipped,partial,1,1,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,0,1,0
https://airti.net,airti.net,airindia.com,Air India,unlabeled,cse_pu_candidates.csv,4,03-05-2026,,,,,local_lexical_candidates,0,0,17,0,0,0,0,0,0,0,3.3815804883091634,0.85,0,0.85,0,0,0,0,airindia.com,airti.net,1,1,104.21.58.34;172.67.199.123;2606:4700:3030::6815:3a22;2606:4700:3037::ac43:c77b,0,0,8,-1,31,334,6,8,0,1,1,31,-1,1,1,0,0,1,0,0,0,1,0,0,1,1,,0,0,93142c25ad4fdb36,0,2,200,,CNAME:NoAnswer,,success,success,success,success,success,skipped,complete,1,1,0,0,0,0,1,0,phishing,visual brand-domain mismatch,0,1,1
https://axis-authorized-partner.com,axis-authorized-partner.com,axis.bank.in,Axis Bank,unlabeled,cse_pu_candidates.csv,5,03-05-2026,,,,,local_lexical_candidates,0,0,35,0,0,0,0,1,0,2,4.171860873964197,0.85,0,0.85,0,0,0,0,axis.bank.in,axis-authorized-partner.com,1,1,104.21.92.63;172.67.187.157;2606:4700:3031::6815:5c3f;2606:4700:3035::ac43:bb9d,0,0,8,-1,32,333,6,-1,0,1,1,32,-1,1,1,0,0,1,1,0,0,1,1,1,1,1,ea6a97921ab4b2d2,0,0,2edbdb7c10b01ab0,0,1,200,,CNAME:NoAnswer,,success,success,success,success,success,skipped,complete,1,0,0,0,0,0,1,0,phishing,visual brand-domain mismatch,0,1,1
https://axis-ember.ru,axis-ember.ru,axis.bank.in,Axis Bank,unlabeled,cse_pu_candidates.csv,6,03-05-2026,,,,,local_lexical_candidates,0,0,21,0,0,0,0,1,0,1,3.916126946588284,0.85,0,0.85,0,0,0,0,axis.bank.in,axis-ember.ru,1,1,51.210.247.54,0,0,6,-1,33,332,6,6,0,1,0,-1,-1,1,1,0,0,1,1,0,0,0,0,0,0,0,,0,0,2ff403f29af51e36,0,2,200,,AAAA:NoAnswer;CNAME:NoAnswer,SSLCertVerificationError,success,success,invalid,success,unavailable,success,partial,1,0,1,0,0,0,0,0,suspected_unconfirmed,high lexical similarity but insufficient phishing evidence,0,1,0
https://axis-haven.ru,axis-haven.ru,axis.bank.in,Axis Bank,unlabeled,cse_pu_candidates.csv,7,03-05-2026,,,,,local_lexical_candidates,0,0,21,0,0,0,0,1,0,1,3.916126946588284,0.85,0,0.85,0,0,0,0,axis.bank.in,axis-haven.ru,1,1,162.19.231.77,0,0,6,-1,33,332,6,6,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,a80124a6bde254d4,0,5,403,,AAAA:NoAnswer;CNAME:NoAnswer,SSLCertVerificationError,success,http_403,invalid,success,unavailable,success,partial,1,1,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,0,1,0
https://axis-quill.ru,axis-quill.ru,axis.bank.in,Axis Bank,unlabeled,cse_pu_candidates.csv,8,03-05-2026,,,,,local_lexical_candidates,0,0,21,0,0,0,0,1,0,1,3.8208888513501886,0.85,0,0.85,0,0,0,0,axis.bank.in,axis-quill.ru,1,1,148.113.192.238,0,0,6,-1,33,332,6,6,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,a80124a6bde254d4,0,5,403,,AAAA:NoAnswer;CNAME:NoAnswer,SSLCertVerificationError,success,http_403,invalid,success,unavailable,success,partial,1,1,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,0,1,0
https://bi-axis.net,bi-axis.net,axis.bank.in,Axis Bank,unlabeled,cse_pu_candidates.csv,9,03-05-2026,,,,,local_lexical_candidates,0,0,19,0,0,0,0,1,0,1,3.6818808028034034,0.85,0,0.85,0,0,0,0,axis.bank.in,bi-axis.net,1,1,34.111.141.225,0,0,6,-1,33,332,6,8,0,1,1,18,-1,1,1,0,0,1,0,0,0,1,0,0,1,1,,0,0,f7e3fb3620901db4,0,1,200,,AAAA:NoAnswer;CNAME:NoAnswer,,success,success,success,success,success,skipped,complete,1,1,0,0,0,0,1,0,phishing,visual brand-domain mismatch,0,1,1
https://casinolineuk.com,casinolineuk.com,camsonline.com,Computer Age Management Services Ltd. (CAMS),unlabeled,cse_pu_candidates.csv,10,03-05-2026,,,,,local_lexical_candidates,0,0,24,0,0,0,0,0,0,0,4.001629167387823,0.8,2,0.8,0,0,1,0,camsonline.com,casinolineuk.com,1,1,216.150.1.1;216.150.1.193,0,0,6,-1,32,333,6,6,0,1,1,32,-1,1,1,1,0,1,0,0,0,0,0,0,0,0,,0,0,4de912a5cdbe62e0,0,1,200,,AAAA:NoAnswer;CNAME:NoAnswer,,success,success,success,success,success,skipped,complete,1,1,1,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,0,1,0
https://dinftech.com,dinftech.com,kfintech.com,Kfintech,unlabeled,cse_pu_candidates.csv,11,03-05-2026,,,,,local_lexical_candidates,0,0,20,0,0,0,0,0,0,0,3.784183719779189,0.833333,3,0.833333,0,0,1,0,kfintech.com,dinftech.com,1,1,102.218.215.137,0,0,6,-1,32,333,6,-1,0,1,0,-1,-1,1,1,0,0,1,1,0,0,0,0,0,0,0,,0,0,33ebadb22b50df3f,0,1,200,,AAAA:NoAnswer;CNAME:NoAnswer,SSLCertVerificationError,success,success,invalid,success,success,skipped,partial,1,0,1,0,0,0,0,0,suspected_unconfirmed,high lexical similarity but insufficient phishing evidence,0,1,0
